Node Number	LOC_DEFY (m)
322	6.7768e-005
323	5.3734e-005
324	5.2158e-004
325	-1.e-006
326	3.8934e-005
327	6.5876e-004
328	8.1381e-004
329	2.1912e-004
330	-1.e-006
331	9.7692e-006
332	-1.e-006
333	6.9241e-004
334	1.1341e-004
335	2.3903e-005
336	3.1682e-004
337	8.3725e-005
338	2.3105e-005
339	1.1602e-004
340	1.4479e-004
341	1.6315e-004
342	8.3886e-005
343	2.3034e-004
344	1.4499e-004
345	2.0961e-004
346	1.0538e-004
347	1.3915e-004
348	1.7994e-004
349	3.27e-005
350	2.5883e-004
351	3.7554e-005
352	6.4636e-005
353	1.5332e-005
354	4.0055e-005
355	8.7782e-005
356	8.4979e-005
357	6.3996e-005
358	6.827e-005
359	6.3279e-005
360	6.5323e-005
361	6.0799e-005
362	6.6325e-005
363	3.7705e-005
364	6.0338e-005
365	6.1144e-005
366	7.0773e-005
367	5.9194e-005
368	7.0549e-005
369	5.403e-005
370	5.7739e-005
371	6.2024e-005
372	4.6935e-005
373	1.0166e-004
374	9.6335e-005
375	9.6988e-005
376	9.6727e-005
377	9.647e-005
378	9.5912e-005
379	9.5385e-005
380	9.4921e-005
381	9.4744e-005
382	9.433e-005
383	9.4571e-005
384	9.4131e-005
385	9.4559e-005
386	9.4067e-005
387	9.4678e-005
388	9.4214e-005
389	9.5021e-005
390	9.4523e-005
391	9.5354e-005
392	9.4731e-005
393	9.5252e-005
394	9.4487e-005
395	9.4257e-005
396	9.3522e-005
397	9.2448e-005
398	9.3573e-005
399	9.181e-005
400	9.4628e-005
401	3.9669e-004
402	1.6063e-004
403	6.6921e-004
404	9.3569e-005
405	1.713e-004
406	4.8691e-004
407	4.0871e-004
408	4.0192e-004
409	6.0972e-004
410	1.3057e-004
411	4.6549e-004
412	6.8482e-005
413	5.9113e-004
414	5.3856e-004
415	4.6539e-004
416	5.2694e-004
417	1.9112e-004
418	7.7038e-004
419	4.1828e-005
420	2.5801e-004
421	1.0375e-004
422	3.519e-004
423	5.8074e-005
424	1.9914e-005
425	2.0362e-004
426	5.9258e-004
427	9.2437e-004
428	4.0876e-004
429	1.9139e-005
430	3.2158e-005
431	-1.e-006
432	2.0551e-005
433	3.2326e-005
434	3.9574e-004
435	1.5914e-005
436	1.8419e-004
437	5.9447e-004
438	2.279e-004
439	8.3983e-005
440	5.6121e-004
441	1.058e-004
442	1.995e-004
443	1.1831e-004
444	3.0179e-004
445	2.5271e-004
446	2.1568e-004
447	5.1407e-005
448	7.4625e-005
449	5.6609e-005
450	6.6734e-005
451	6.7224e-005
452	5.5756e-005
453	9.3014e-005
454	4.0817e-005
455	7.734e-005
456	7.4085e-005
457	6.8087e-005
458	1.1524e-004
459	8.4385e-005
460	9.6205e-005
461	7.4565e-005
462	6.8786e-005
463	6.2936e-005
464	6.7576e-005
465	6.2919e-005
466	6.4756e-005
467	6.2309e-005
468	6.8548e-005
469	8.2587e-005
470	6.976e-005
471	6.5969e-005
472	1.097e-004
473	9.6935e-005
474	9.9207e-005
475	9.6781e-005
476	9.6919e-005
477	9.6012e-005
478	9.5855e-005
479	9.541e-005
480	9.5265e-005
481	9.5135e-005
482	9.4977e-005
483	9.5108e-005
484	9.4852e-005
485	9.5151e-005
486	9.4732e-005
487	9.5326e-005
488	9.4826e-005
489	9.5618e-005
490	9.5094e-005
491	9.5973e-005
492	9.5282e-005
493	9.5934e-005
494	9.4963e-005
495	9.4859e-005
496	9.4147e-005
497	9.3245e-005
498	9.4288e-005
499	9.233e-005
500	9.4965e-005
501	8.1068e-006
502	1.7625e-004
503	3.9525e-004
504	4.7024e-005
505	2.1645e-004
506	2.0021e-004
507	3.3915e-004
508	5.8839e-004
509	6.0237e-005
510	6.0034e-005
511	1.6564e-004
512	7.531e-004
513	6.713e-004
514	5.1072e-004
515	4.6432e-004
516	1.4784e-004
517	8.1713e-004
518	7.9469e-005
519	5.8425e-005
520	-1.e-006
521	4.0487e-004
522	3.3989e-005
523	3.1753e-004
524	1.4186e-005
525	1.4355e-004
526	8.5563e-004
527	2.3396e-005
528	1.3698e-005
529	1.8905e-005
530	4.1122e-005
531	2.4574e-004
532	6.3213e-004
533	4.9932e-004
534	4.5832e-004
535	6.5108e-005
536	5.1465e-004
537	1.643e-004
538	2.0754e-004
539	4.0723e-005
540	2.3961e-004
541	5.4258e-005
542	-1.e-006
543	2.6656e-004
544	9.0052e-005
545	3.3975e-005
546	1.901e-004
547	1.2887e-004
548	8.2665e-005
549	5.2473e-005
550	5.4516e-005
551	1.1078e-004
552	1.7652e-004
553	6.0806e-005
554	5.1692e-005
555	8.1311e-005
556	5.5375e-005
557	7.7222e-005
558	8.1169e-005
559	7.2427e-005
560	7.9761e-005
561	7.7253e-005
562	7.1457e-005
563	7.6962e-005
564	7.4307e-005
565	7.1752e-005
566	7.1436e-005
567	7.0342e-005
568	6.6666e-005
569	6.8587e-005
